fips,unemployment rate,state,county
01001,4.4,Alabama,Autauga County
01003,4.9,Alabama,Baldwin County
01005,7.7,Alabama,Barbour County
01007,5.7,Alabama,Bibb County
01009,3.3,Alabama,Blount County
01011,6.1,Alabama,Bullock County
01013,8.1,Alabama,Butler County
01015,6.5,Alabama,Calhoun County
01017,5.9,Alabama,Chambers County
01019,3.4,Alabama,Cherokee County
01021,4.2,Alabama,Chilton County
01023,5.7,Alabama,Choctaw County
01025,8.2,Alabama,Clarke County
01027,3.4,Alabama,Clay County
01029,3.5,Alabama,Cleburne County
01031,3.6,Alabama,Coffee County
01033,5.4,Alabama,Colbert County
01035,7,Alabama,Conecuh County
01037,4.7,Alabama,Coosa County
01039,3.9,Alabama,Covington County
01041,4.4,Alabama,Crenshaw County
01043,3.1,Alabama,Cullman County
01045,4.4,Alabama,Dale County
01047,10.3,Alabama,Dallas County
01049,3.4,Alabama,DeKalb County
01051,4.5,Alabama,Elmore County
01053,5.5,Alabama,Escambia County
01055,6.5,Alabama,Etowah County
01057,4.4,Alabama,Fayette County
01059,3.2,Alabama,Franklin County
01061,3.7,Alabama,Geneva County
01063,10.1,Alabama,Greene County
01065,9.3,Alabama,Hale County
01067,4.5,Alabama,Henry County
01069,5.4,Alabama,Houston County
01071,3.8,Alabama,Jackson County
01073,6.2,Alabama,Jefferson County
01075,3.7,Alabama,Lamar County
01077,4.3,Alabama,Lauderdale County
01079,4.3,Alabama,Lawrence County
01081,4.5,Alabama,Lee County
01083,3.6,Alabama,Limestone County
01085,14.7,Alabama,Lowndes County
01087,9.7,Alabama,Macon County
01089,4.3,Alabama,Madison County
01091,6.1,Alabama,Marengo County
01093,4.2,Alabama,Marion County
01095,3.3,Alabama,Marshall County
01097,7.9,Alabama,Mobile County
01099,7.2,Alabama,Monroe County
01101,8.5,Alabama,Montgomery County
01103,4,Alabama,Morgan County
01105,10.4,Alabama,Perry County
01107,6,Alabama,Pickens County
01109,4.5,Alabama,Pike County
01111,3.3,Alabama,Randolph County
01113,4.7,Alabama,Russell County
01115,4.2,Alabama,St. Clair County
01117,3.3,Alabama,Shelby County
01119,6.4,Alabama,Sumter County
01121,5.7,Alabama,Talladega County
01123,5.7,Alabama,Tallapoosa County
01125,5.8,Alabama,Tuscaloosa County
01127,5.1,Alabama,Walker County
01129,6.7,Alabama,Washington County
01131,14.7,Alabama,Wilcox County
01133,4,Alabama,Winston County
02013,1.7,Alaska,Aleutians East Borough
02016,2.5,Alaska,Aleutians West Census Area
02020,5.3,Alaska,Anchorage Borough/municipality
02050,8.3,Alaska,Bethel Census Area
02060,6.5,Alaska,Bristol Bay Borough
02068,8.5,Alaska,Denali Borough
02070,5.6,Alaska,Dillingham Census Area
02090,4.3,Alaska,Fairbanks North Star Borough
02100,8.9,Alaska,Haines Borough
02105,9.3,Alaska,Hoonah-Angoon Census Area
02110,4.7,Alaska,Juneau Borough/city
02122,6.8,Alaska,Kenai Peninsula Borough
02130,6.4,Alaska,Ketchikan Gateway Borough
02150,3.6,Alaska,Kodiak Island Borough
02158,11.1,Alaska,Kusilvak Census Area
02164,6.1,Alaska,Lake and Peninsula Borough
02170,5.5,Alaska,Matanuska-Susitna Borough
02180,6.6,Alaska,Nome Census Area
02185,5.6,Alaska,North Slope Borough
02188,8.1,Alaska,Northwest Arctic Borough
02195,5.6,Alaska,Petersburg Borough
02198,5.9,Alaska,Prince of Wales-Hyder Census Area
02220,4.6,Alaska,Sitka Borough/city
02230,10.9,Alaska,Skagway Municipality
02240,5,Alaska,Southeast Fairbanks Census Area
02261,6.3,Alaska,Valdez-Cordova Census Area
02275,5,Alaska,Wrangell Borough/city
02282,6.8,Alaska,Yakutat Borough/city
02290,6.5,Alaska,Yukon-Koyukuk Census Area
04001,12.5,Arizona,Apache County
04003,6.5,Arizona,Cochise County
04005,9.6,Arizona,Coconino County
04007,7.6,Arizona,Gila County
04009,6.2,Arizona,Graham County
04011,6,Arizona,Greenlee County
04012,6.5,Arizona,La Paz County
04013,7.4,Arizona,Maricopa County
04015,9,Arizona,Mohave County
04017,9.5,Arizona,Navajo County
04019,7.8,Arizona,Pima County
04021,7.5,Arizona,Pinal County
04023,12.8,Arizona,Santa Cruz County
04025,6.8,Arizona,Yavapai County
04027,15.5,Arizona,Yuma County
05001,4,Arkansas,Arkansas County
05003,9.1,Arkansas,Ashley County
05005,5.2,Arkansas,Baxter County
05007,4.2,Arkansas,Benton County
05009,4.4,Arkansas,Boone County
05011,5,Arkansas,Bradley County
05013,4.7,Arkansas,Calhoun County
05015,4.9,Arkansas,Carroll County
05017,10.9,Arkansas,Chicot County
05019,5.2,Arkansas,Clark County
05021,4.6,Arkansas,Clay County
05023,6.6,Arkansas,Cleburne County
05025,6.3,Arkansas,Cleveland County
05027,6.7,Arkansas,Columbia County
05029,5.3,Arkansas,Conway County
05031,4.7,Arkansas,Craighead County
05033,5.1,Arkansas,Crawford County
05035,7.9,Arkansas,Crittenden County
05037,5.7,Arkansas,Cross County
05039,4.6,Arkansas,Dallas County
05041,6.8,Arkansas,Desha County
05043,6.2,Arkansas,Drew County
05045,4.9,Arkansas,Faulkner County
05047,5.1,Arkansas,Franklin County
05049,4.4,Arkansas,Fulton County
05051,7.5,Arkansas,Garland County
05053,4.8,Arkansas,Grant County
05055,4.7,Arkansas,Greene County
05057,4.4,Arkansas,Hempstead County
05059,5.5,Arkansas,Hot Spring County
05061,4.6,Arkansas,Howard County
05063,5.1,Arkansas,Independence County
05065,6.9,Arkansas,Izard County
05067,6.6,Arkansas,Jackson County
05069,8.6,Arkansas,Jefferson County
05071,5.3,Arkansas,Johnson County
05073,8.1,Arkansas,Lafayette County
05075,5.5,Arkansas,Lawrence County
05077,7.1,Arkansas,Lee County
05079,5.5,Arkansas,Lincoln County
05081,5.9,Arkansas,Little River County
05083,6,Arkansas,Logan County
05085,5.3,Arkansas,Lonoke County
05087,3.9,Arkansas,Madison County
05089,5.6,Arkansas,Marion County
05091,6,Arkansas,Miller County
05093,8.5,Arkansas,Mississippi County
05095,6.6,Arkansas,Monroe County
05097,6.1,Arkansas,Montgomery County
05099,5.3,Arkansas,Nevada County
05101,3.9,Arkansas,Newton County
05103,5.2,Arkansas,Ouachita County
05105,4.9,Arkansas,Perry County
05107,8.8,Arkansas,Phillips County
05109,5.6,Arkansas,Pike County
05111,4.9,Arkansas,Poinsett County
05113,5.8,Arkansas,Polk County
05115,4.8,Arkansas,Pope County
05117,5.1,Arkansas,Prairie County
05119,7.7,Arkansas,Pulaski County
05121,5.3,Arkansas,Randolph County
05123,7.7,Arkansas,St. Francis County
05125,4.8,Arkansas,Saline County
05127,4.3,Arkansas,Scott County
05129,5.4,Arkansas,Searcy County
05131,5.5,Arkansas,Sebastian County
05133,5.6,Arkansas,Sevier County
05135,6.4,Arkansas,Sharp County
05137,6.5,Arkansas,Stone County
05139,7.8,Arkansas,Union County
05141,6.6,Arkansas,Van Buren County
05143,4.4,Arkansas,Washington County
05145,5.4,Arkansas,White County
05147,5.9,Arkansas,Woodruff County
05149,4.3,Arkansas,Yell County
06001,7.6,California,Alameda County
06003,9.1,California,Alpine County
06005,7.4,California,Amador County
06007,7.1,California,Butte County
06009,6.4,California,Calaveras County
06011,9.2,California,Colusa County
06013,7.7,California,Contra Costa County
06015,7.7,California,Del Norte County
06017,6.2,California,El Dorado County
06019,8.9,California,Fresno County
06021,6.1,California,Glenn County
06023,6.5,California,Humboldt County
06025,18.2,California,Imperial County
06027,6.3,California,Inyo County
06029,10.2,California,Kern County
06031,9,California,Kings County
06033,7.4,California,Lake County
06035,5,California,Lassen County
06037,11.8,California,Los Angeles County
06039,8.2,California,Madera County
06041,5.2,California,Marin County
06043,7.3,California,Mariposa County
06045,7.2,California,Mendocino County
06047,9,California,Merced County
06049,5.6,California,Modoc County
06051,9.7,California,Mono County
06053,7.6,California,Monterey County
06055,6.4,California,Napa County
06057,6.2,California,Nevada County
06059,7.3,California,Orange County
06061,5.8,California,Placer County
06063,6.7,California,Plumas County
06065,8.7,California,Riverside County
06067,8.1,California,Sacramento County
06069,7.3,California,San Benito County
06071,8.7,California,San Bernardino County
06073,7.5,California,San Diego County
06075,6.7,California,San Francisco County/city
06077,9.6,California,San Joaquin County
06079,5.9,California,San Luis Obispo County
06081,5.8,California,San Mateo County
06083,6.1,California,Santa Barbara County
06085,5.7,California,Santa Clara County
06087,6.9,California,Santa Cruz County
